userId,bookId,rating
1,1,4
1,2,4
1,3,5
1,4,3
1,5,5
1,6,5
1,7,5
1,8,3
1,9,5
1,10,4
1,11,5
1,12,3
1,13,4
1,14,3
1,15,4
1,16,3
1,17,3
1,18,5
1,19,3
1,20,4
1,21,5
1,22,4
1,23,5
1,24,4
1,25,4
1,26,4
1,27,4
1,28,4
1,29,5
1,30,5
1,2110,2
1,2035,2
1,1439,2
1,2619,2
1,694,2
1,1950,2
1,438,1
1,2042,1
1,2350,2
1,2766,1
1,2810,2
1,2808,1
1,1749,2
1,2585,2
1,1131,2
1,1235,1
1,2432,2
1,1526,2
1,1281,2
1,1062,2
2,1,5
2,2,4
2,3,3
2,4,3
2,5,5
2,6,5
2,7,5
2,8,4
2,9,3
2,10,3
2,11,5
2,12,4
2,13,3
2,14,5
2,15,4
2,16,4
2,17,5
2,18,3
2,19,4
2,20,5
2,21,4
2,22,5
2,23,3
2,24,4
2,25,5
2,26,3
2,27,3
2,28,4
2,29,5
2,30,3
2,433,1
2,785,2
2,1915,1
2,2291,1
2,839,1
2,2009,1
2,1734,2
2,239,2
2,631,2
2,2787,2
2,894,1
2,591,2
2,755,1
2,2059,1
2,2619,2
2,2812,2
2,1527,1
2,1284,1
2,2757,2
2,1205,2
3,1,3
3,2,5
3,3,5
3,4,4
3,5,3
3,6,3
3,7,4
3,8,4
3,9,4
3,10,4
3,11,4
3,12,5
3,13,4
3,14,5
3,15,3
3,16,4
3,17,5
3,18,4
3,19,5
3,20,5
3,21,4
3,22,4
3,23,3
3,24,3
3,25,4
3,26,5
3,27,4
3,28,4
3,29,4
3,30,4
3,2180,1
3,2439,1
3,412,1
3,1636,1
3,601,2
3,1794,2
3,2167,2
3,2204,1
3,1774,1
3,1389,1
3,1063,1
3,2435,1
3,1842,1
3,971,1
3,2989,2
3,2117,2
3,2981,2
3,493,2
3,2002,2
3,1436,1
4,1,4
4,2,4
4,3,3
4,4,4
4,5,3
4,6,4
4,7,4
4,8,3
4,9,5
4,10,5
4,11,4
4,12,5
4,13,5
4,14,5
4,15,4
4,16,4
4,17,5
4,18,5
4,19,3
4,20,5
4,21,4
4,22,3
4,23,3
4,24,4
4,25,5
4,26,4
4,27,5
4,28,3
4,29,5
4,30,5
4,417,2
4,2119,1
4,1867,1
4,2125,1
4,2231,1
4,1074,1
4,1219,1
4,1971,1
4,1153,2
4,1591,2
4,2502,2
4,1729,2
4,2081,2
4,297,1
4,486,2
4,1478,2
4,686,1
4,2965,1
4,1790,1
4,865,2
5,1,4
5,2,5
5,3,3
5,4,4
5,5,5
5,6,3
5,7,4
5,8,4
5,9,5
5,10,3
5,11,3
5,12,3
5,13,5
5,14,5
5,15,3
5,16,4
5,17,4
5,18,3
5,19,4
5,20,3
5,21,3
5,22,4
5,23,5
5,24,3
5,25,3
5,26,4
5,27,4
5,28,5
5,29,4
5,30,3
5,258,2
5,2381,1
5,1544,1
5,1591,1
5,907,2
5,2902,1
5,479,2
5,292,1
5,2440,2
5,2254,2
5,2278,1
5,1156,2
5,541,2
5,1445,2
5,1699,1
5,2151,1
5,2098,2
5,2185,2
5,2503,1
5,2076,2
6,31,4
6,32,5
6,33,4
6,34,3
6,35,3
6,36,3
6,37,4
6,38,5
6,39,4
6,40,3
6,41,4
6,42,3
6,43,3
6,44,4
6,45,5
6,46,5
6,47,3
6,48,5
6,49,5
6,50,5
6,51,3
6,52,4
6,53,4
6,54,4
6,55,3
6,56,5
6,57,5
6,58,3
6,59,4
6,60,5
6,3,1
6,16,2
6,1532,1
6,11,1
6,10,2
6,4,2
6,1113,1
6,615,1
6,2365,1
6,18,1
6,1456,2
6,1868,1
6,2497,2
6,2924,1
6,719,2
6,2176,2
6,2539,1
6,1770,1
6,583,2
6,279,1
7,31,4
7,32,4
7,33,3
7,34,4
7,35,5
7,36,3
7,37,3
7,38,4
7,39,4
7,40,4
7,41,5
7,42,4
7,43,5
7,44,4
7,45,3
7,46,3
7,47,3
7,48,4
7,49,3
7,50,4
7,51,5
7,52,4
7,53,5
7,54,3
7,55,3
7,56,4
7,57,4
7,58,3
7,59,4
7,60,4
7,2852,1
7,1710,2
7,13,1
7,2,1
7,960,1
7,4,1
7,2333,2
7,1246,1
7,2638,1
7,1132,1
7,2908,1
7,1193,2
7,2905,1
7,2564,2
7,2825,1
7,283,2
7,719,2
7,1195,1
7,1948,1
7,16,2
8,31,3
8,32,4
8,33,4
8,34,4
8,35,5
8,36,3
8,37,3
8,38,5
8,39,5
8,40,4
8,41,3
8,42,4
8,43,4
8,44,4
8,45,4
8,46,5
8,47,3
8,48,5
8,49,4
8,50,3
8,51,3
8,52,3
8,53,3
8,54,5
8,55,5
8,56,3
8,57,5
8,58,3
8,59,5
8,60,4
8,1019,1
8,9,2
8,1903,1
8,930,1
8,2743,1
8,14,1
8,1915,1
8,888,1
8,1199,1
8,2809,1
8,2416,2
8,1120,1
8,2535,1
8,2138,1
8,1758,1
8,566,1
8,903,2
8,2847,1
