bookId,title,genre
1,내 아이를 위한 감정코칭,가정/육아 > 육아 > 육아일반
2,아이주도이유식,가정/육아 > 육아 > 육아일반
3,잘 먹이는 엄마 잘 먹는 아이,가정/육아 > 육아 > 육아일반
4,게임 종이접기,가정/육아 > 자녀교육 > 놀이교육
5,세상 쉬운 우리 아이 진로 진학,가정/육아 > 자녀교육 > 학습교육
6,선재 스님의 이야기로 버무린 사찰음식,건강 > 건강식사 > 건강음식
7,최강의 야채 수프,건강 > 건강식사 > 건강음식
8,건강해독주스,건강 > 건강식사 > 건강음식
9,우리가 몰랐던 유전자 조작 식품의 비밀,건강 > 건강식사 > 식품과건강
10,Secret of 1879,건강 > 건강식사 > 식품과건강
11,뇌 신경 구조 교과서,건강 > 건강일반 > 건강상식
12,혈관 내장 구조 교과서,건강 > 건강일반 > 건강상식
13,"하루 한 번, 레몬 식초와 초생강을 먹어라",건강 > 건강일반 > 건강상식
14,케토채식,건강 > 다이어트 > 다이어트일반
15,당질량 핸드북,건강 > 다이어트 > 다이어트일반
16,문숙의 자연식,건강 > 자연건강 > 자연식건강
17,가슴을 지키는 식단의 정석,건강 > 질병치료/예방 > 암
18,산야초백과,건강 > 한방치료 > 한방약초
19,북한투자 법제해설,경제/경영 > 각국경제 > 북한경제
20,북중 머니 커넥션,경제/경영 > 각국경제 > 북한경제
21,중국 상식사전(2020),경제/경영 > 각국경제 > 중국경제
22,한국 경제 규칙 바꾸기,경제/경영 > 각국경제 > 한국경제
23,한국경제와 생활환경,경제/경영 > 각국경제 > 한국경제
24,주주총회실무,경제/경영 > 경영관리 > 경영관리/기업경영
25,중소기업 경영컨설팅 실전가이드,경제/경영 > 경영관리 > 경영관리/기업경영
26,공기업의 정치경제,경제/경영 > 경영관리 > 경영관리/기업경영
27,비서실무의 이해,경제/경영 > 경영관리 > 비서학
28,비서실무론,경제/경영 > 경영관리 > 비서학
29,스토리텔링 인사노무관리: HR편,경제/경영 > 경영관리 > 인사/총무/임금 > 인사/노무/총무
30,손에 잡히는 교대근무제와 유연근무제,경제/경영 > 경영관리 > 인사/총무/임금 > 인사/노무/총무
31,임금설계를 통한 급여와 4대보험 실무(2020),경제/경영 > 경영관리 > 인사/총무/임금 > 임금/급여
32,주52시간 근무에 따른 근로시간 관리 실무,경제/경영 > 경영관리 > 인적자원관리
33,인적자원개발론,경제/경영 > 경영관리 > 인적자원관리
34,연구원은 무엇으로 사는가,경제/경영 > 경영관리 > 조직관리
35,글로벌 리더십 콘서트,경제/경영 > 경영관리 > 조직관리
36,가르치지 말고 보여주자,경제/경영 > 경영관리 > 코칭/멘토링/BSC
37,코칭방법론,경제/경영 > 경영관리 > 코칭/멘토링/BSC
38,마스터코치의 코칭 레시피,경제/경영 > 경영관리 > 코칭/멘토링/BSC
39,경영과학,경제/경영 > 경영이론 > 경영분석/경영정보
40,경영정보시스템,경제/경영 > 경영이론 > 경영분석/경영정보
41,Q&A 경영통계학: R기초 수록,경제/경영 > 경영이론 > 경영수학/경영통계
42,몬테칼로 시뮬레이션,경제/경영 > 경영이론 > 경영수학/경영통계
43,경영의 이해와 창업,경제/경영 > 경영이론 > 경영학이론
44,산업조직론,경제/경영 > 경영이론 > 경영학이론
45,빅데이터경영론,경제/경영 > 경영이론 > 경영학이론
46,글로벌경영: 이론과 실제,경제/경영 > 경영이론 > 국제경영
47,국제경영학,경제/경영 > 경영이론 > 국제경영
48,덕을 쌓는 경영,경제/경영 > 경영이론 > 기업윤리/문화
49,윤리경영 : 이론과 실제,경제/경영 > 경영이론 > 기업윤리/문화
50,도덕적 주체로서의 현대기업,경제/경영 > 경영이론 > 기업윤리/문화
51,사사 오디세이,경제/경영 > 경영이론 > 기업윤리/문화
52,조직행위론,경제/경영 > 경영이론 > 조직행동
53,조직행동,경제/경영 > 경영이론 > 조직행동
54,삼성전자의 빅픽처,경제/경영 > 경영일반 > 국내경영이야기
55,밀레니얼이 회사를 바꾸는 38가지 방법,경제/경영 > 경영일반 > 국내경영이야기
56,대한민국 기업분석 2020,경제/경영 > 경영일반 > 국내경영이야기
57,재무인명부,경제/경영 > 경영일반 > 국내기업가
58,밥일꿈,경제/경영 > 경영일반 > 국내기업가
59,꿈을 연주하는 여든의 노래,경제/경영 > 경영일반 > 국내기업가
60,원칙(99그램 특별판),경제/경영 > 경영일반 > 외국기업가
61,"가자, 어디에도 없었던 방법으로",경제/경영 > 경영일반 > 외국기업가
62,아마존 vs. 구글 미래전쟁,경제/경영 > 경영일반 > 해외경영이야기
63,미중 플랫폼 전쟁 GAFA vs BATH,경제/경영 > 경영일반 > 해외경영이야기
64,유투브로 부자되는 초보자의 밥벌이,경제/경영 > 경영전략 > e-비즈니스
65,해외 소싱 마스터,경제/경영 > 경영전략 > e-비즈니스
66,IT융합서비스를 위한 유비쿼터스 기술,경제/경영 > 경영전략 > IT/디지털경영
67,무선인식기술(RFID)의 비즈니스 응용,경제/경영 > 경영전략 > IT/디지털경영
68,케미스트리,경제/경영 > 경영전략 > 경영전략일반
69,중년에 읽는 손자병법,경제/경영 > 경영전략 > 경영전략일반
70,숨은 혁신 찾기,경제/경영 > 경영전략 > 경영혁신
71,구글맵 혁명,경제/경영 > 경영전략 > 경영혁신
72,서비스파워,경제/경영 > 경영전략 > 서비스경영
73,서비스 커뮤니케이션,경제/경영 > 경영전략 > 서비스경영
74,엑설런트 서비스,경제/경영 > 경영전략 > 서비스경영
75,지식재산,경제/경영 > 경영전략 > 지식경영
76,연구개발직군의 지식생태계 실행공동체,경제/경영 > 경영전략 > 지식경영
77,기술사업화,경제/경영 > 경영전략 > 지식경영
78,한국 컨설팅시장의 이론과 실제. 1,경제/경영 > 경영전략 > 컨설팅
79,컨셉팅하라 그리고 코딩하라,경제/경영 > 경영전략 > 컨설팅
80,비영리단체의 컨설팅 가이드북,경제/경영 > 경영전략 > 컨설팅
81,콘텐츠의 미래,경제/경영 > 경영전략 > 컨텐츠비즈니스
82,소비자와 통하는 콘텐츠 큐레이팅,경제/경영 > 경영전략 > 컨텐츠비즈니스
83,1.2초 찰나의 유혹,경제/경영 > 경영전략 > 컨텐츠비즈니스
84,4차 산업혁명과 창의적사고,경제/경영 > 경제실무 > 기술경제
85,기술사업화는 어떻게 기업의 무기가 되는가,경제/경영 > 경제실무 > 기술경제
86,기술경영회계,경제/경영 > 경제실무 > 기술경제
87,침구·이불가게 주소록(2020),경제/경영 > 경제실무 > 기업일반
88,골동품시장 주소록(2020),경제/경영 > 경제실무 > 기업일반
89,냉동산업업체 주소록(2020),경제/경영 > 경제실무 > 기업일반
90,할리우드 에이전트,경제/경영 > 경제실무 > 문화산업
91,Dongdaemun Style,경제/경영 > 경제실무 > 문화산업
92,아시아의 디아스포라 문학과 문화콘텐츠,경제/경영 > 경제실무 > 문화산업
93,사회적 가치의 재구성,경제/경영 > 경제실무 > 사회적기업
94,"사회적경제: 이론, 제도, 정책",경제/경영 > 경제실무 > 사회적기업
95,사회적경제학,경제/경영 > 경제실무 > 사회적기업
96,한국 소재산업의 반격,경제/경영 > 경제실무 > 산업경제
97,국내외 철강·금속·세라믹 산업 및 연관산업의 시장분석과 비즈니스 전략,경제/경영 > 경제실무 > 산업경제
98,돈이 도는 지역경제 한명진이 답이다,경제/경영 > 경제실무 > 지역경제
99,"뉴 머니, 지역화폐가 온다",경제/경영 > 경제실무 > 지역경제
100,우호적 M&A의 이론과 실무. 2,경제/경영 > 경제실무 > 합병/M&A
101,기업법실무강의. 2,경제/경영 > 경제실무 > 합병/M&A
102,거시경제학 해법,경제/경영 > 경제이론 > 거시경제학
103,경제학원론(거시경제학) 연습문제 해답집,경제/경영 > 경제이론 > 거시경제학
104,주택업무편람(2019),경제/경영 > 경제이론 > 경제경영연감/총람
105,한경기업총람 세트(2020),경제/경영 > 경제이론 > 경제경영연감/총람
106,대한민국 100대 프랜차이즈(2019),경제/경영 > 경제이론 > 경제경영연감/총람
107,경제법,경제/경영 > 경제이론 > 경제법
108,신 국제경제법,경제/경영 > 경제이론 > 경제법
109,국제상사중재법연구. 2,경제/경영 > 경제이론 > 경제법
110,경제경영수학,경제/경영 > 경제이론 > 경제수학/경제통계
111,DJ에게 배워라,경제/경영 > 경제이론 > 경제정책/협력
112,사회적경제와 소셜이노베이션,경제/경영 > 경제이론 > 경제정책/협력
113,경제와 사회,경제/경영 > 경제이론 > 경제학이론
114,만화로 보는 맨큐의 경제학. 6,경제/경영 > 경제이론 > 경제학이론
115,노동경제학 연습,경제/경영 > 경제이론 > 경제학이론
116,정석 미시경제론,경제/경영 > 경제이론 > 미시경제학
117,미시경제학(연습문제해답집),경제/경영 > 경제이론 > 미시경제학
118,미시경제학 한입에 털어 넣기,경제/경영 > 경제이론 > 미시경제학
119,세계 경제의 맥을 짚다,경제/경영 > 경제이론 > 세계경제/국제경제
120,자본주의 생존 공략집,경제/경영 > 경제이론 > 자본론
121,딱 맞게 풀어쓴 국부론,경제/경영 > 경제이론 > 자본론
122,새정치경제학,경제/경영 > 경제이론 > 정치경제학
123,마르크스의 정치경제학 비판과 공황론,경제/경영 > 경제이론 > 정치경제학
124,정치경제학 비판의 정치 이론과 전략: 민주주의의 재구성이론과 실질적인 민주주의,경제/경영 > 경제이론 > 정치경제학
125,한 미식가의 자본주의 가이드,경제/경영 > 경제이론 > 정치경제학
126,장영철의 경제직언,경제/경영 > 경제일반 > 경제비평
127,여성과 경제,경제/경영 > 경제일반 > 경제비평
128,"불쌍한 경제, 눈감은 정치",경제/경영 > 경제일반 > 경제비평
129,월스트리트의 내부자들,경제/경영 > 경제일반 > 경제상식/경제이야기
130,경제의 속살. 3: 불평등 편,경제/경영 > 경제일반 > 경제상식/경제이야기
131,은밀한 설계자들,경제/경영 > 경제일반 > 경제전망
132,통일경제,경제/경영 > 경제일반 > 경제전망
133,엔터프라이즈 블록체인 2020,경제/경영 > 경제일반 > 경제전망
134,난타의 경제학,경제/경영 > 경제일반 > 경제학일반
135,미디어경제론,경제/경영 > 경제일반 > 경제학일반
136,스마트시티,경제/경영 > 경제일반 > 디지털경제
137,한 권으로 끝내는 디지털 경제,경제/경영 > 경제일반 > 디지털경제
138,생활경제와 창업경영,경제/경영 > 경제일반 > 생활경제
139,살아 있는 생활경제,경제/경영 > 경제일반 > 생활경제
140,세대전쟁,경제/경영 > 경제일반 > 생활경제
141,시장과 가격 쫌 아는 10대,경제/경영 > 경제일반 > 청소년경제
142,경제의 역사,경제/경영 > 경제일반 > 청소년경제
143,생태관광론,경제/경영 > 관광/호텔 > 관광 > 관광마케팅/사업
144,카지노 회계실무,경제/경영 > 관광/호텔 > 관광 > 관광이론
145,구마몬의 비밀,경제/경영 > 관광/호텔 > 관광 > 관광이론
146,국제회의기획자와 국제교류담당자를 위한 실무노트,경제/경영 > 관광/호텔 > 관광 > 컨벤션/국제회의
147,테이블 매너,경제/경영 > 관광/호텔 > 호텔 > 외식/식음료
148,호텔산업 M&A 원론,경제/경영 > 관광/호텔 > 호텔 > 호텔경영
149,디지털PR 이론과 실제,경제/경영 > 마케팅/광고/고객 > 광고/홍보/브랜드
150,옥외광고 이론과 실제,경제/경영 > 마케팅/광고/고객 > 광고/홍보/브랜드
151,초단기 다이아몬드 되는 10가지 비법,경제/경영 > 마케팅/광고/고객 > 네트워크/텔레마케팅
152,네트워크 마케팅 4.0 플랫폼 비즈니스,경제/경영 > 마케팅/광고/고객 > 네트워크/텔레마케팅
153,문제 해결력을 키우는 디자인 씽킹,경제/경영 > 마케팅/광고/고객 > 마케팅이론
154,리서치 노트. 2,경제/경영 > 마케팅/광고/고객 > 마케팅이론
155,크라이시스 마케팅,경제/경영 > 마케팅/광고/고객 > 마케팅전략
